split,NOC,Year,total_actual,gold_actual,total_pred,gold_pred,total_pred_10_90_lo,total_pred_10_90_hi,gold_pred_10_90_lo,gold_pred_10_90_hi,total_pred_2_97_lo,total_pred_2_97_hi,gold_pred_2_97_lo,gold_pred_2_97_hi
2020->2024,AFG,2024,0.0,0.0,0.15425924027971158,0.047158604058907205,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0
2020->2024,AIN,2024,0.0,0.0,0.7823655378462168,0.27961499725991545,0.0,2.0,0.0,1.0,0.0,3.0,0.0,2.0
2020->2024,ALB,2024,2.0,0.0,0.1731583707837887,0.05938798766816095,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0
2020->2024,ALG,2024,3.0,2.0,1.180761695299173,0.3442732156850822,0.0,3.0,0.0,1.0,0.0,4.0,0.0,2.0
2020->2024,AND,2024,0.0,0.0,0.06255823055158864,0.020121470305951208,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
2020->2024,ANG,2024,0.0,0.0,0.4780415818208526,0.1741008938679702,0.0,1.0,0.0,1.0,0.0,2.0,0.0,1.0
2020->2024,ANT,2024,0.0,0.0,0.11811762300298143,0.03957916555140146,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0
2020->2024,ARG,2024,3.0,1.0,5.539804710862071,1.507365184581881,1.0,11.0,0.0,4.0,0.0,16.0,0.0,6.0
2020->2024,ARM,2024,4.0,0.0,0.7166367919312474,0.12340944735819646,0.0,2.0,0.0,1.0,0.0,3.0,0.0,1.0
2020->2024,ARU,2024,0.0,0.0,0.14449006688959387,0.04857240864577314,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0
2020->2024,ASA,2024,0.0,0.0,0.058612645942002724,0.018926016790247174,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
2020->2024,AUS,2024,53.0,18.0,60.87103656671448,18.852009560156826,18.0,113.0,5.0,37.0,9.0,158.0,2.0,51.024999999999636
2020->2024,AUT,2024,5.0,2.0,3.731351104571272,0.7706246621169159,0.0,8.0,0.0,2.0,0.0,11.0,0.0,3.0
2020->2024,AZE,2024,7.0,2.0,3.3712253983341287,0.4516291535017681,0.0,7.0,0.0,1.0,0.0,10.024999999999636,0.0,2.0
2020->2024,BAH,2024,0.0,0.0,0.68540372676722,0.24611856111033956,0.0,2.0,0.0,1.0,0.0,3.0,0.0,2.0
2020->2024,BAN,2024,0.0,0.0,0.11820072984014385,0.03960452882630189,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0
2020->2024,BAR,2024,0.0,0.0,0.09722427056014298,0.03201111613474884,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
2020->2024,BDI,2024,0.0,0.0,0.18059423152242776,0.05414143281794984,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0
2020->2024,BEL,2024,10.0,3.0,8.744671257972668,2.6062566660797195,2.0,17.0,0.0,6.0,0.0,24.0,0.0,9.0
2020->2024,BEN,2024,0.0,0.0,0.1169756346616005,0.03920855807684765,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0
2020->2024,BER,2024,0.0,0.0,0.2401053995918277,0.08552124543283442,0.0,1.0,0.0,0.0,0.0,2.0,0.0,1.0
2020->2024,BHU,2024,0.0,0.0,0.08046369338475451,0.026344950198834767,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
2020->2024,BIH,2024,0.0,0.0,0.11691259663865718,0.039199085518262185,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0
2020->2024,BIZ,2024,0.0,0.0,0.040610254448792876,0.012799603374620208,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
2020->2024,BOL,2024,0.0,0.0,0.09941712467115309,0.03296372569420637,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
2020->2024,BOT,2024,2.0,1.0,0.3723921061112066,0.09933498329027834,0.0,1.0,0.0,0.0,0.0,2.0,0.0,1.0
2020->2024,BRA,2024,20.0,3.0,25.131779825221585,7.064068581517108,7.0,48.0,1.0,14.0,3.0,70.02499999999964,0.0,21.0
2020->2024,BRN,2024,4.0,2.0,0.41064957613390435,0.11692588696396569,0.0,1.0,0.0,1.0,0.0,2.0,0.0,1.0
2020->2024,BRU,2024,0.0,0.0,0.08423850836421368,0.02740341268962865,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
2020->2024,BUL,2024,7.0,3.0,2.3885615891666645,0.623804651241039,0.0,5.0,0.0,2.0,0.0,8.0,0.0,3.0
