NOC,Year,total_pred,gold_pred,total_10_90_lo,total_10_90_hi,gold_10_90_lo,gold_10_90_hi,total_2_97_lo,total_2_97_hi,gold_2_97_lo,gold_2_97_hi,gold_medals,total_medals,delta_total,delta_gold
NED,2028,48.39560867141074,12.751197536680186,5.0,113.0,0.0,34.0,1.0,184.0,0.0,58.0,67.0,118.0,-69.60439132858926,-54.24880246331981
GBR,2028,96.44797362926518,33.40121715002812,10.0,229.0,1.0,86.10000000000036,1.0,385.02499999999964,0.0,150.02499999999964,39.0,156.0,-59.55202637073482,-5.598782849971883
CHN,2028,117.96712353315446,33.63779984481667,11.0,281.10000000000036,1.0,90.0,2.0,461.02499999999964,0.0,158.02499999999964,71.0,168.0,-50.032876466845536,-37.36220015518333
KOR,2028,17.027567949450695,4.323026152754026,1.0,39.0,0.0,11.0,0.0,68.0,0.0,20.0,21.0,58.0,-40.9724320505493,-16.676973847245975
DEN,2028,18.7095205375643,9.184295921494675,1.0,43.100000000000364,0.0,24.0,0.0,76.0,0.0,42.0,17.0,41.0,-22.2904794624357,-7.815704078505325
NZL,2028,30.440478988785767,9.749604052681146,2.0,68.0,0.0,25.0,0.0,110.0,0.0,44.0,26.0,51.0,-20.559521011214233,-16.250395947318854
BRA,2028,46.620349708039065,15.553065844487918,4.0,111.0,0.0,42.0,1.0,168.0,0.0,77.02499999999964,4.0,67.0,-20.379650291960935,11.553065844487918
SRB,2028,13.400045227533676,2.585661888351171,1.0,33.0,0.0,7.0,0.0,52.0,0.0,13.0,16.0,29.0,-15.599954772466324,-13.41433811164883
MAR,2028,5.4903220070386025,1.152986089530721,0.0,13.0,0.0,3.0,0.0,22.0,0.0,6.0,1.0,20.0,-14.509677992961397,0.1529860895307209
CRO,2028,6.301982965501547,1.2971027646990574,0.0,16.0,0.0,4.0,0.0,25.0,0.0,7.0,3.0,20.0,-13.698017034498452,-1.7028972353009426
IND,2028,9.138032792709938,3.4258961036923523,1.0,22.0,0.0,9.0,0.0,35.0,0.0,17.0,0.0,22.0,-12.861967207290062,3.4258961036923523
FIJ,2028,1.64662735543203,0.5401116083898879,0.0,4.0,0.0,2.0,0.0,7.0,0.0,3.0,0.0,14.0,-12.353372644567969,0.5401116083898879
ROU,2028,11.476001319414907,3.698217503066135,1.0,28.0,0.0,11.0,0.0,45.0,0.0,19.0,12.0,21.0,-9.523998680585093,-8.301782496933864
IRI,2028,3.0805487219763665,0.6130374211936702,0.0,8.0,0.0,2.0,0.0,13.0,0.0,4.0,3.0,12.0,-8.919451278023633,-2.3869625788063296
RSA,2028,12.192224155415614,3.4686720362572547,1.0,28.0,0.0,9.0,0.0,46.024999999999636,0.0,18.0,1.0,21.0,-8.807775844584386,2.4686720362572547
HUN,2028,21.388570117020585,6.565897809270406,2.0,52.0,0.0,17.0,0.0,84.0,0.0,32.024999999999636,9.0,30.0,-8.611429882979415,-2.434102190729594
ARG,2028,11.105284648924748,2.486563547217754,1.0,27.0,0.0,7.0,0.0,42.0,0.0,13.0,1.0,19.0,-7.894715351075252,1.486563547217754
PRK,2028,0.5043826980291181,0.11333995080971368,0.0,2.0,0.0,0.0,0.0,3.0,0.0,1.0,0.0,8.0,-7.495617301970882,0.11333995080971368
UZB,2028,6.1870864098281375,1.353005877361456,0.0,14.0,0.0,4.0,0.0,24.0,0.0,7.0,8.0,13.0,-6.8129135901718625,-6.646994122638544
BOT,2028,0.936050223303075,0.17168362419907549,0.0,3.0,0.0,1.0,0.0,5.0,0.0,1.0,1.0,7.0,-6.063949776696925,-0.8283163758009245
