NOC,Year,total_pred,gold_pred,total_10_90_lo,total_10_90_hi,gold_10_90_lo,gold_10_90_hi,total_2_97_lo,total_2_97_hi,gold_2_97_lo,gold_2_97_hi,gold_medals,total_medals,delta_total,delta_gold
URS,2028,1344.9713679335855,1166.5010499840143,135.0,3448.0,41.0,3458.500000000002,30.0,6193.0,4.0,7500.174999999997,0.0,0.0,1344.9713679335855,1166.5010499840143
USA,2028,532.8768935400293,256.2754823085945,49.0,1355.0,8.0,788.2000000000007,11.0,2355.1749999999975,1.0,1615.1499999999978,131.0,321.0,211.8768935400293,125.27548230859452
GDR,2028,187.8748454025272,130.94125654800158,20.0,455.10000000000036,4.0,351.0,4.0,759.0499999999993,0.0,668.0999999999985,0.0,0.0,187.8748454025272,130.94125654800158
FRA,2028,337.5625362361228,152.4041619041948,36.0,818.0,4.0,431.2000000000007,8.0,1346.0499999999993,0.0,752.0749999999989,53.0,187.0,150.5625362361228,99.40416190419481
FRG,2028,104.12417135994944,35.6717167348598,11.0,254.0,1.0,95.0,2.0,415.0,0.0,163.02499999999964,0.0,0.0,104.12417135994944,35.6717167348598
RUS,2028,89.79352514817832,28.69795952941205,8.0,213.10000000000036,1.0,73.0,1.0,350.02499999999964,0.0,127.0,0.0,0.0,89.79352514817832,28.69795952941205
EUN,2028,63.247979021860026,20.126923622957644,6.0,145.0,0.0,54.0,1.0,235.02499999999964,0.0,99.02499999999964,0.0,0.0,63.247979021860026,20.126923622957644
JPN,2028,130.23532104035976,37.64999277310775,13.0,313.0,1.0,97.0,3.0,501.0,0.0,174.04999999999927,27.0,82.0,48.235321040359764,10.649992773107748
ROC,2028,41.439152206433974,10.341132884156199,4.0,100.0,0.0,28.0,0.0,163.0,0.0,49.0,0.0,0.0,41.439152206433974,10.341132884156199
YUG,2028,39.91046444278233,17.35568819847955,4.0,95.0,0.0,47.0,0.0,160.02499999999964,0.0,89.02499999999964,0.0,0.0,39.91046444278233,17.35568819847955
ESP,2028,115.24728010434364,16.767986271933832,12.0,260.10000000000036,0.0,44.0,3.0,430.0,0.0,80.02499999999964,40.0,83.0,32.247280104343645,-23.232013728066168
CAN,2028,81.89738395829181,32.50824458446253,9.0,192.0,1.0,86.0,2.0,300.02499999999964,0.0,155.0,14.0,57.0,24.89738395829181,18.50824458446253
TCH,2028,23.65050230876441,6.80790397578119,2.0,55.0,0.0,19.0,0.0,85.0,0.0,33.0,0.0,0.0,23.65050230876441,6.80790397578119
AUS,2028,135.02568222882363,36.99529552556019,13.0,321.10000000000036,1.0,100.0,2.0,513.0249999999996,0.0,175.0,33.0,121.0,14.025682228823626,3.995295525560188
POL,2028,39.044228813961446,9.55273869085611,4.0,92.0,0.0,25.0,1.0,153.0,0.0,45.0,1.0,28.0,11.044228813961446,8.55273869085611
EGY,2028,13.562325281780094,2.3039354025236785,1.0,33.0,0.0,7.0,0.0,54.0,0.0,12.0,1.0,3.0,10.562325281780094,1.3039354025236785
NGR,2028,9.901455960998023,1.3705739551535514,1.0,24.0,0.0,4.0,0.0,41.0,0.0,7.0,0.0,0.0,9.901455960998023,1.3705739551535514
BLR,2028,8.94921108197381,2.259248227761475,0.0,21.100000000000364,0.0,7.0,0.0,34.0,0.0,11.0,0.0,0.0,8.94921108197381,2.259248227761475
BEL,2028,16.40965566571526,4.287974863064219,1.0,38.0,0.0,12.0,0.0,61.0,0.0,21.0,3.0,9.0,7.40965566571526,1.2879748630642194
IRL,2028,13.700309048563492,3.899685977456211,1.0,32.0,0.0,10.0,0.0,53.0,0.0,19.0,4.0,7.0,6.700309048563492,-0.10031402254378907
