NOC,rank,sport,log_mu_contrib_total,log_mu_contrib_gold
AFG,1,Athletics,0.0,0.0
AFG,2,Swimming,0.0,0.0
AFG,3,Rowing,0.0,0.0
AFG,4,Gymnastics,0.0,0.0
AFG,5,Fencing,0.0,0.0
AHO,1,Athletics,0.0,0.0
AHO,2,Swimming,0.0,0.0
AHO,3,Rowing,0.0,0.0
AHO,4,Gymnastics,0.0,0.0
AHO,5,Fencing,0.0,0.0
AIN,1,Athletics,0.0,0.0
AIN,2,Swimming,0.0,0.0
AIN,3,Rowing,0.0,0.0
AIN,4,Gymnastics,0.0,0.0
AIN,5,Fencing,0.0,0.0
ALB,1,Athletics,0.0,0.0
ALB,2,Swimming,0.0,0.0
ALB,3,Rowing,0.0,0.0
ALB,4,Gymnastics,0.0,0.0
ALB,5,Fencing,0.0,0.0
ALG,1,Athletics,9.261204676914703,5.91145877715746
ALG,2,Swimming,0.0,0.0
ALG,3,Rowing,0.0,0.0
ALG,4,Gymnastics,0.0,0.0
ALG,5,Fencing,0.0,0.0
AND,1,Athletics,0.0,0.0
AND,2,Swimming,0.0,0.0
AND,3,Rowing,0.0,0.0
AND,4,Gymnastics,0.0,0.0
AND,5,Fencing,0.0,0.0
ANG,1,Athletics,0.0,0.0
ANG,2,Swimming,0.0,0.0
ANG,3,Rowing,0.0,0.0
ANG,4,Gymnastics,0.0,0.0
ANG,5,Fencing,0.0,0.0
ANT,1,Athletics,0.0,0.0
ANT,2,Swimming,0.0,0.0
ANT,3,Rowing,0.0,0.0
ANT,4,Gymnastics,0.0,0.0
ANT,5,Fencing,0.0,0.0
ANZ,1,Athletics,0.30464489068798367,0.0
ANZ,2,Swimming,0.0,0.0
ANZ,3,Rowing,0.0,0.0
ANZ,4,Gymnastics,0.0,0.0
ANZ,5,Fencing,0.0,0.0
ARG,1,Athletics,0.0,0.0
ARG,2,Swimming,0.0,0.0
ARG,3,Rowing,0.0,0.0
ARG,4,Gymnastics,0.0,0.0
ARG,5,Fencing,0.0,0.0
ARM,1,Wrestling,0.994747561896273,1.5955158339813968
ARM,2,Athletics,0.0,0.0
ARM,3,Swimming,0.0,0.0
ARM,4,Rowing,0.0,0.0
ARM,5,Gymnastics,0.0,0.0
ARU,1,Athletics,0.0,0.0
ARU,2,Swimming,0.0,0.0
ARU,3,Rowing,0.0,0.0
ARU,4,Gymnastics,0.0,0.0
ARU,5,Fencing,0.0,0.0
ASA,1,Athletics,0.0,0.0
ASA,2,Swimming,0.0,0.0
ASA,3,Rowing,0.0,0.0
ASA,4,Gymnastics,0.0,0.0
ASA,5,Fencing,0.0,0.0
AUS,1,Athletics,0.22657381472574198,0.07677219191113584
AUS,2,Rowing,0.09941100722306563,0.113153995391572
AUS,3,Cycling,0.03313224901850817,0.012314230190012779
AUS,4,Basketball,0.01372884402157355,0.0
AUS,5,Canoeing,0.010281770005206302,0.036670377297910305
AUT,1,Athletics,1.0290227418794113,0.0
AUT,2,Rowing,0.09505087532731712,0.0
AUT,3,Swimming,0.0,0.0
AUT,4,Gymnastics,0.0,0.0
AUT,5,Fencing,0.0,0.0
AZE,1,Wrestling,1.188012802493263,1.0636772226542646
AZE,2,Canoeing,0.024015277083589005,0.0
AZE,3,Athletics,0.0,0.0
AZE,4,Swimming,0.0,0.0
AZE,5,Rowing,0.0,0.0
BAH,1,Athletics,9.261204676914703,5.91145877715746
BAH,2,Swimming,0.0,0.0
BAH,3,Rowing,0.0,0.0
BAH,4,Gymnastics,0.0,0.0
BAH,5,Fencing,0.0,0.0
BAN,1,Athletics,0.0,0.0
BAN,2,Swimming,0.0,0.0
BAN,3,Rowing,0.0,0.0
BAN,4,Gymnastics,0.0,0.0
BAN,5,Fencing,0.0,0.0
BAR,1,Athletics,0.0,0.0
BAR,2,Swimming,0.0,0.0
BAR,3,Rowing,0.0,0.0
BAR,4,Gymnastics,0.0,0.0
BAR,5,Fencing,0.0,0.0
BDI,1,Athletics,9.261204676914703,0.0
BDI,2,Swimming,0.0,0.0
BDI,3,Rowing,0.0,0.0
BDI,4,Gymnastics,0.0,0.0
BDI,5,Fencing,0.0,0.0
BEL,1,Athletics,0.5447767457008648,0.5374053433779509
BEL,2,Cycling,0.02655452311042199,0.04309980566504472
BEL,3,Shooting,0.02217177350975607,0.0
BEL,4,Swimming,0.0,0.0
BEL,5,Rowing,0.0,0.0
BEN,1,Athletics,0.0,0.0
BEN,2,Swimming,0.0,0.0
BEN,3,Rowing,0.0,0.0
BEN,4,Gymnastics,0.0,0.0
BEN,5,Fencing,0.0,0.0
BER,1,Athletics,0.0,0.0
BER,2,Swimming,0.0,0.0
BER,3,Rowing,0.0,0.0
BER,4,Gymnastics,0.0,0.0
BER,5,Fencing,0.0,0.0
BHU,1,Athletics,0.0,0.0
BHU,2,Swimming,0.0,0.0
BHU,3,Rowing,0.0,0.0
BHU,4,Gymnastics,0.0,0.0
BHU,5,Fencing,0.0,0.0
BIH,1,Athletics,0.0,0.0
BIH,2,Swimming,0.0,0.0
BIH,3,Rowing,0.0,0.0
BIH,4,Gymnastics,0.0,0.0
BIH,5,Fencing,0.0,0.0
BIZ,1,Athletics,0.0,0.0
BIZ,2,Swimming,0.0,0.0
